month,Billing,Escalations & Warranty,Frontline,Logistics,Returns Desk
2025-01,71,10,155,52,26
2025-02,76,15,175,69,33
2025-03,104,20,218,74,46
2025-04,104,22,202,77,44
2025-05,83,25,202,72,42
2025-06,98,16,203,80,42
2025-07,97,17,232,79,37
2025-08,162,25,311,122,75
2025-09,143,28,327,103,70
2025-10,198,43,373,148,85
2025-11,219,42,452,157,82
2025-12,170,40,441,136,82
2026-01,143,41,437,121,70
2026-02,148,34,376,117,58
2026-03,159,33,392,125,71
2026-04,178,38,434,122,60
2026-05,144,34,393,132,53
2026-06,128,42,414,119,73
