month,Account & Login,App & Firmware,Audio Quality,Billing & Payments,Charging & Battery,Connectivity,Delivery & Shipping,Product Enquiry,Returns & Refunds,Warranty & Repair
2025-01,0,0,0,2,1,1,1,0,2,1
2025-02,0,0,0,2,1,0,4,0,2,0
2025-03,0,1,0,0,0,1,2,0,2,0
2025-04,0,0,0,1,0,2,5,0,1,0
2025-05,0,1,0,2,0,1,4,0,3,1
2025-06,0,1,0,3,1,1,4,1,2,0
2025-07,0,1,0,0,1,0,1,0,4,1
2025-08,1,0,1,2,4,4,7,0,8,1
2025-09,2,2,0,4,1,1,5,2,2,1
2025-10,0,1,1,3,1,5,6,3,4,0
2025-11,0,1,1,1,2,2,7,3,5,1
2025-12,3,1,2,2,2,3,7,1,4,1
2026-01,2,3,2,2,1,5,4,0,1,0
2026-02,1,1,0,4,0,2,2,0,2,0
2026-03,1,1,2,3,0,4,4,0,2,1
2026-04,0,2,2,4,2,1,4,1,6,1
2026-05,0,1,2,8,2,4,3,2,2,0
2026-06,2,1,1,1,1,0,3,1,5,2
