month,Billing,Escalations & Warranty,Frontline,Logistics,Returns Desk
2025-01,53,13,147,73,28
2025-02,56,18,168,94,32
2025-03,80,24,210,104,44
2025-04,75,29,195,110,40
2025-05,66,32,197,89,40
2025-06,68,20,195,111,45
2025-07,69,22,218,113,40
2025-08,123,29,306,163,74
2025-09,94,36,308,151,82
2025-10,143,57,360,202,85
2025-11,152,52,428,224,96
2025-12,128,48,428,177,88
2026-01,115,48,414,160,75
2026-02,103,40,373,152,65
2026-03,131,38,375,159,77
2026-04,137,48,411,169,67
2026-05,108,39,384,165,60
2026-06,97,57,385,158,79
